contrato;obra;sequencia_do_trecho;rodovia;descricao_rodovia;descricao_trecho;km_inicial;km_final
9447043/2024;Obra 1;1;MG050 ;BETIM-DIVINÓPOLIS-FORMIGA-PASSOS-SÃO SEBASTIÃO DO PARAÍSO;;;
AMA-9441725/2024;Obra 1;1;LMG827;BR354-BAMBUÍ-MEDEIROS-PRATINHA-BR267;;0,0;107,0
AMA-9447965/2025;Obra 1;1;MG129 ;ITABIRA-SÃO GONÇALO DO RIO ABAIXO-SANTA BÁRBARA-MARIANA-CONSELHEIRO LAFAIETE;;;
AMA-9458828/2025;Obra 1;1;MG238 ;MARAVILHAS-INHAÚMA-SETE LAGOAS-JEQUITIBÁ;;;
DC-001/2022;Obra 1;1;CMG479;JANUÁRIA-CHAPADA GAUCHA-ARINOS-DIV MG/GO;;27,7;49,5
DC-001/2022;Obra 2;1;CMG479;JANUÁRIA-CHAPADA GAUCHA-ARINOS-DIV MG/GO;;3,8;27,7
DC-001/2023;Obra 1;1;MG437 ;NOVA LIMA-SABARÁ;;;
DC-002/2021;Obra 1;1;MG105 ;PEDRA AZUL-JOAÍMA-PAVÃO-CARLOS CHAGAS-BR418;;147,0;194,7
DC-002/2021;Obra 2;1;MG409 ;PAVÃO (MG105)-FREI GONZAGA-TOPÁZIO-BR116 (TEÓFILO OTONI);;0,0;77,3
DC-003/2023;Obra 1;1;MG060 ;VIANÓPOLIS-ESMERALDAS-POMPEU-ABAETÉ-SÃO G ABAETÉ-BR365;;;
DC-004/2022;Obra 1;1;MG167 ;SANTANA DA VARGEM-TRÊS PONTAS-VARGINHA-CAMBUQUIRA-BR267;;17,0;43,8
DC-004/2022;Obra 2;1;MG167 ;SANTANA DA VARGEM-TRÊS PONTAS-VARGINHA-CAMBUQUIRA-BR267;;17,0;43,8
DC-005/2023;Obra 1;2;BR262 ;DIV ES/MG-MANHUAÇU-JOÃO MONLEVADE-CAETÉ-SABARÁ-BELO HORIZONTE-ARAXÁ-UBERABA-FRUTAL-DIV MG/SP;;;
DC-005/2023;Obra 2;2;BR262 ;DIV ES/MG-MANHUAÇU-JOÃO MONLEVADE-CAETÉ-SABARÁ-BELO HORIZONTE-ARAXÁ-UBERABA-FRUTAL-DIV MG/SP;;;
DC-006/2022;Obra 1;1;LMG680;ENTRE RIBEIROS-ENTR LMG690 (P/BR040;;;
DC-006/2022;Obra 2;1;LMG680;ENTRE RIBEIROS-ENTR LMG690 (P/BR040;;;
DC-006/2022;Obra 3;1;LMG680;ENTRE RIBEIROS-ENTR LMG690 (P/BR040;;;
DC-006/2023;Obra 1;1;LMG869;ENTR LMG865 (USINA CORURIPE) - ENTR BR364 (CHAVESLÂNDIA);;;
DC-006/2023;Obra 2;1;LMG869;ENTR LMG865 (USINA CORURIPE) - ENTR BR364 (CHAVESLÂNDIA);;;
DC-007/2021;Obra 1;1;MG320 ;BR381 (CORONEL FABRICIANO)-MARLIÉRIA-BR262;;;
DC-007/2023;Obra 1;2;MG415 ;BIQUINHAS (MG060)-MORADA NOVA DE MINAS;;49,0;68,0
DC-007/2023;Obra 2;1;MG415 ;BIQUINHAS (MG060)-MORADA NOVA DE MINAS;;49,0;68,0
DC-008/2022;Obra 1;3;CMG479;JANUÁRIA-CHAPADA GAUCHA-ARINOS-DIV MG/GO;;3,8;27,7
DC-008/2022;Obra 1;4;CMG479;JANUÁRIA-CHAPADA GAUCHA-ARINOS-DIV MG/GO;;27,7;49,5
DC-008/2023;Obra 1;2;MG010 ;BELO HORIZONTE-VESPASIANO-LAGOA SANTA-CONCEIÇÃO DO MATO DENTRO-SERRO-SERRA AZUL DE MINASRIO VERMELHO;;210,8;224,3
DC-008/2023;Obra 2;1;AMG900;ACESSO;;0,0;4,5
DC-008/2023;Obra 3;1;MG010 ;BELO HORIZONTE-VESPASIANO-LAGOA SANTA-CONCEIÇÃO DO MATO DENTRO-SERRO-SERRA AZUL DE MINASRIO VERMELHO;;210,8;224,3
DC-009/2023;Obra 1;1;BR050 ;DIV GO/MG-UBERLÂNDIA-UBERABAUBERABA-DIV MG/SP;;22,1;36,3
DC-010/2023;Obra 1;2;LMG739;ENTR MG010 (CONCEIÇÃO DO MATO DENTRO) / CONGONHAS DO NORTE;;;
DC-012/2022;Obra 1;1;LMG631;SÃO JOÃO DA PONTE-CAPITÃO ENEIAS;;;
DC-013/2021;Obra 1;1;MG308 ;MONTES CLAROS-JURAMENTO-ITACAMBIRA-TURMALINA-CAPELINHA;;;
DC-014/2022;Obra 1;1;LMG631;SÃO JOÃO DA PONTE-CAPITÃO ENEIAS;;;
DC-015/2021;Obra 1;2;LMG698;CANABRAVA-SANTA LUZIA DO OESTE-ENTR MG181;;1,0;13,3
DC-015/2022;Obra 1;4;MG010 ;BELO HORIZONTE-VESPASIANO-LAGOA SANTA-CONCEIÇÃO DO MATO DENTRO-SERRO-SERRA AZUL DE MINASRIO VERMELHO;;228,8;229,55
DC-016/2022;Obra 1;2;MG414 ;ENGENHEIRO BETHOUT-ARAGUARI;;19,5;42,9
DC-016/2022;Obra 1;3;MG414 ;ENGENHEIRO BETHOUT-ARAGUARI;;18,0;19,5
DC-018/2021;Obra 1;1;LMG869;ENTR LMG865 (USINA CORURIPE) - ENTR BR364 (CHAVESLÂNDIA);;16,9;27,1
DC-018/2021;Obra 2;1;LMG869;ENTR LMG865 (USINA CORURIPE) - ENTR BR364 (CHAVESLÂNDIA);;7,9;16,9
DC-018/2021;Obra 3;1;LMG869;ENTR LMG865 (USINA CORURIPE) - ENTR BR364 (CHAVESLÂNDIA);;14,35;14,379
DC-018/2022;Obra 1;1;MG320 ;BR381 (CORONEL FABRICIANO)-MARLIÉRIA-BR262;;;
DC-018/2023;Obra 1;1;MG167 ;SANTANA DA VARGEM-TRÊS PONTAS-VARGINHA-CAMBUQUIRA-BR267;;;
DC-018/2023;Obra 2;1;MG167 ;SANTANA DA VARGEM-TRÊS PONTAS-VARGINHA-CAMBUQUIRA-BR267;;;
DC-019/2023;Obra 2;1;LMG698;CANABRAVA-SANTA LUZIA DO OESTE-ENTR MG181;;;
DC-019/2023;Obra 3;1;LMG662;ENTR LMG664 (P/BONFINÓPOLIS)-NATALÂNDIA-ENTR BR251(BOQUEIRÃO);;0,0;15,9
DC-020/2022;Obra 1;1;MG402 ;URUCUIA-SÃO FRANCISCO-BRASÍLIA DE MINAS;;;
DC-021/2022;Obra 1;1;MG437 ;NOVA LIMA-SABARÁ;;;
DC-022/2022;Obra 1;1;MG060 ;VIANÓPOLIS-ESMERALDAS-POMPEU-ABAETÉ-SÃO G ABAETÉ-BR365;;;
DC-022/2023;Obra 1;1;LMG680;ENTRE RIBEIROS-ENTR LMG690 (P/BR040;;;
DC-022/2023;Obra 2;1;LMG680;ENTRE RIBEIROS-ENTR LMG690 (P/BR040;;;
DC-024/2022;Obra 1;3;MG124 ;PIRANGA-SENADOR FIRMINO-DIVINÉSIA-UBÁ;;68,3;71,0
DC-027/2022;Obra 1;1;MG060 ;VIANÓPOLIS-ESMERALDAS-POMPEU-ABAETÉ-SÃO G ABAETÉ-BR365;;;
DC-028/2022;Obra 1;1;MG170 ;BR262-MOEMA-LAGOA DA PRATA-PIMENTA-ILICÍNEA-BR265;;;
DC-22.013/2020;Obra 1;1;LMG653;ENTR MGC135  (P/JANUÁRIA)-ENTR BR135  (P/BOCAIÚVA)-ENTR BR365 (P/PIRAPORA);;22,0;26,9
DC-22.017/2020;Obra 1;2;AMG900;ACESSO;CATAGUASES (ENTRº MG-447) - ENTRº BR-120;0,0;6,4
DC-22.018/2020;Obra 1;2;LMG503;ENTR BR050-ENTR BR497 ;;0,0;20,1
DC-22.018/2020;Obra 2;1;CMG455;UBERLÂNDIA-CAMPO FLORIDO-PIRAJUBA-DIV MG/SP (PLANURA);;8,22;8,22
DC-22.018/2020;Obra 2;2;CMG455;UBERLÂNDIA-CAMPO FLORIDO-PIRAJUBA-DIV MG/SP (PLANURA);;10,22;10,22
DC-22.018/2020;Obra 2;3;CMG455;UBERLÂNDIA-CAMPO FLORIDO-PIRAJUBA-DIV MG/SP (PLANURA);;15,4;15,4
DC-22.019/2020;Obra 1;1;MG135 ;BARBACENA-ANTÔNIO CARLOS-BIAS FORTES-BR267;;17,8;66,3
DC-22.020/2020;Obra 1;1;LMG853;CONTORNO DE SETE LAGOAS-ENTR BR040 A-ENTR BR040 B ;;0,0;3,3
DC-22.024/2020;Obra 1;1;MG431 ;SÃO JOSÉ DA VARGINHA-PARÁ DE MINAS-ITAÚNA-BR381(CARMÓPOLIS);;;
DC-9472752/2025;Obra 1;1;MG040 ;BELO HORIZONTE-BRUMADINHO-BONFIM-CRUCILANDIA-ITAGUARA;;;
DI-22.001/2020;Obra 1;4;AMG900;ACESSO;ENTR MG040 - ENTR  AV INHOTIM;0,0;2,9
DI-22.001/2020;Obra 2;1;AMG900;ACESSO;ENTR MG040 - ENTR  AV INHOTIM;2,26;2,5
DI-22.001/2020;Obra 3;1;AMG900;ACESSO;ENTR MG040 - ENTR  AV INHOTIM;2,58;2,58
DI-22.001/2020;Obra 4;1;AMG900;ACESSO;ENTR MG040 - ENTR  AV INHOTIM;0,24;0,278
DM-001/2021;Obra 1;1;MG111 ;IPANEMA-MANHUMIRIM-CARANGOLA-TOMBOS-DIV MG/RJ;;;
DM-001/2022;Obra 1;1;MG108 ;BR458-POCRANE-MUTUM-LAJINHA-MANHUMIRIM;;113,3;113,3
